id,species,location_type,location_coordinates_0,location_coordinates_1
001ced99-bf0c-4045-9895-7814c8a2ceee,FUNESTUS COMPLEX,Point,8.499,3.451
01f1f157-3d93-4107-be01-ec62ec5f2d95,FUNESTUS COMPLEX,Point,46.417,-19
038cb81a-2fc9-4c3a-91df-fe45c5b9a43d,FUNESTUS COMPLEX,Point,-15.434,15.667
0399bc9b-573d-44f4-affe-87107a8fa1df,FUNESTUS COMPLEX,Point,34.5167,-0.1
0659e627-635d-4604-a50f-029376de02d5,FUNESTUS COMPLEX,Point,13.507,9.398
06d7dbc4-ade0-4d90-8fe7-24c8af6e3d38,FUNESTUS COMPLEX,Point,30,-3.38
070680b8-7a62-4579-a8eb-b40b36f6c63d,FUNESTUS COMPLEX,Point,34.7167,-0.8667
0714c733-1cb6-4568-8802-f5a5d6f99b8b,FUNESTUS COMPLEX,Point,37.409,-0.606
0752892b-cf9a-47b2-9e7b-67f4e089f650,FUNESTUS COMPLEX,Point,8.849,3.551
077fa385-9c20-4195-8758-c61ecd39ac5f,FUNESTUS COMPLEX,Point,34.7483,0.167
08019636-8da7-48bc-8b39-ce637c537336,FUNESTUS COMPLEX,Point,8.8,3.483
0904a24c-7de1-4e22-96f8-c67e27fde67d,FUNESTUS COMPLEX,Point,37.45,-0.5667
096116e2-badd-4727-9109-7ebcbd14ce7d,FUNESTUS COMPLEX,Point,34.527806,0.120078
0a745acd-5ae4-4509-b39d-ab082a7dcec6,FUNESTUS COMPLEX,Point,34.916,-0.183
0b5a7c86-eea3-4cf7-b4ae-530a4b841e53,FUNESTUS COMPLEX,Point,-4.622,6.497
0cf2af5f-e057-4631-b01f-15312ba565eb,FUNESTUS COMPLEX,Point,34.383,-0.182
0dd38878-5d0f-4cb8-afb6-93228b865c8b,FUNESTUS COMPLEX,Point,37.482,5.251
0df5fbe3-5b64-451f-acdf-f53f4d5075ec,FUNESTUS COMPLEX,Point,37.3446,-0.6981
0eedc0ee-82f6-482d-abbb-a001e231cd41,FUNESTUS COMPLEX,Point,34.7483,0.167
0ef185ce-e0b5-450d-9eba-59477032f8ff,FUNESTUS COMPLEX,Point,32.5383,-25.9388
0f012bd2-4ff2-4402-afc1-d4ba618d89ef,FUNESTUS COMPLEX,Point,46.417,-19
0f4e350f-2ee5-4562-a454-38e2fb13d653,FUNESTUS COMPLEX,Point,13.507,9.398
129e429d-8dbe-475a-a605-943d3adb2f6f,FUNESTUS COMPLEX,Point,34.76489,-0.66396
12ff94e9-1ad4-49d3-8021-0f895c86be0b,FUNESTUS COMPLEX,Point,34.766,0.184
13ba8219-a0ac-4307-8fb6-568b701fa9bf,FUNESTUS COMPLEX,Point,8.7,3.5
13fbb463-b92d-4e0e-8f66-551695ccae03,FUNESTUS COMPLEX,Point,32.282,-26.833
16026e13-f072-4a72-bc94-0329ad4bf393,FUNESTUS COMPLEX,Point,34.6,-0.1333
16322dc5-68ec-4882-a6ae-1d13ccbff3ed,FUNESTUS COMPLEX,Point,34.511058,0.110918
1760e052-0f55-41fe-b4a0-e6d8681e4f4c,FUNESTUS COMPLEX,Point,37.317,-0.667
1893e23d-db1c-4594-a621-88d200f6c745,FUNESTUS COMPLEX,Point,37.45,-0.5667
196564b9-9175-4701-836f-9d0ef8f44b98,FUNESTUS COMPLEX,Point,8.755,3.398
19bc3113-e599-4c0e-88b0-267e12c36ec4,FUNESTUS COMPLEX,Point,32.544,0.294
19ded98c-5dd9-4112-961b-487900ce4659,FUNESTUS COMPLEX,Point,46.2727,-19.243
1b11bca1-28cf-4ffd-937e-9eedf379ca06,FUNESTUS COMPLEX,Point,46.2727,-19.243
1b12aa7a-f7e9-494e-bd2d-5751f96a7b09,FUNESTUS COMPLEX,Point,34.5167,-0.1
1b4e7bf6-bba3-4e12-ad43-ca4ab54c104b,FUNESTUS COMPLEX,Point,34.75,0.1667
1cea0545-cfe8-444f-8775-72d862547a33,FUNESTUS COMPLEX,Point,34.5167,-0.1
1d6d620a-ac06-4e7f-8c11-0c0ff25fbf10,FUNESTUS COMPLEX,Point,34.503201,0.111102
1e3c9f75-783e-4a01-80d6-9226c4d4070c,FUNESTUS COMPLEX,Point,30.19,-3
21093696-aab4-41f9-9bc6-48ac9d4c80a4,FUNESTUS COMPLEX,Point,2.916,13.434
21645594-de8b-485c-9120-0516e4a5c4a9,FUNESTUS COMPLEX,Point,13.675,9.115
2167c341-e204-4629-bec1-e9d986522af6,FUNESTUS COMPLEX,Point,-3.601,12.516
216ae98d-0724-4cb2-ad02-cb983d4498a0,FUNESTUS COMPLEX,Point,8.7,3.5
22460b29-0339-435d-9c5d-3839fe047321,FUNESTUS COMPLEX,Point,32.594,0.3646
22bf4e6d-da26-4e1f-878b-2d0f73815886,FUNESTUS COMPLEX,Point,11.432,3.717
22cab7a4-4908-4079-92dc-73ef28e00ddd,FUNESTUS COMPLEX,Point,34.7833,-0.7166
2598a0f8-532c-439e-a11f-4c7b28367dd6,FUNESTUS COMPLEX,Point,32.544,0.294
25b48d03-7956-4e48-9db8-b620707283cd,FUNESTUS COMPLEX,Point,37.317,0.667
272a653f-a1e3-4bc4-9c66-abbd2c9d7271,FUNESTUS COMPLEX,Point,8.548,3.455
28317cdf-64e1-4946-98de-adb183ce9443,FUNESTUS COMPLEX,Point,29.866,-1.284
285296f3-acdb-43af-9e83-afb366714765,FUNESTUS COMPLEX,Point,13.675,9.115
28b09be6-fc34-4f53-a1b6-cdfc0a000de2,FUNESTUS COMPLEX,Point,-4.622,6.497
29753486-23ba-4f62-a15c-cebaad290afc,FUNESTUS COMPLEX,Point,34.7991,-0.5794
29e5afaa-bf47-49ec-9c35-9a72fa06f0e7,FUNESTUS COMPLEX,Point,34.7483,0.167
2a75ff32-b4cd-442e-9872-466464f11338,FUNESTUS COMPLEX,Point,37.409,-0.606
2ac86eb2-0212-49c9-ae6e-a5302ecb5926,FUNESTUS COMPLEX,Point,11.483,3.816
2acb45da-27eb-4a6a-b12a-dc0c8a7dfbc1,FUNESTUS COMPLEX,Point,37.409,-0.606
2b603b22-59bd-4822-b72f-cbbe821812b1,FUNESTUS COMPLEX,Point,8.632,3.584
2bf0e70b-b42d-4355-9310-8d08511df478,FUNESTUS COMPLEX,Point,13.507,9.398
2bf78a28-5d7d-4993-8e3b-a5b0192823af,FUNESTUS COMPLEX,Point,-15.9167,15.9667
2c45a579-bea7-40d9-b008-b195291ce6c0,FUNESTUS COMPLEX,Point,34.527339,0.106103
2c75279c-a5ed-4559-9fb5-3e96e2f82fef,FUNESTUS COMPLEX,Point,46.2167,-19.3833
2df21218-fbe3-4375-a9a6-5d49a989a95e,FUNESTUS COMPLEX,Point,13.507,9.398
2eec6ab2-c672-40aa-a671-1aa288b942f0,FUNESTUS COMPLEX,Point,34.7483,0.167
2ff9dd60-70ec-41ae-88d8-711d6ed7dd34,FUNESTUS COMPLEX,Point,8.548,3.455
312e8300-ad28-4e99-8f7f-432520e55ea3,FUNESTUS COMPLEX,Point,37.45,-0.5667
3173538c-3a84-439c-abe2-ddd612c549f6,FUNESTUS COMPLEX,Point,37.409,-0.606
31832194-9a24-4d5b-aa7d-316f471aa7e5,FUNESTUS COMPLEX,Point,37.45,-0.5667
31a4a460-eca9-471b-be18-153f103db7f4,FUNESTUS COMPLEX,Point,34.54005,0.106362
31d6e7d5-a1dd-45d2-88c9-dfc4f8a4ef38,FUNESTUS COMPLEX,Point,34.7483,0.167
31f81c54-7815-4e65-910b-7ca3be308dec,FUNESTUS COMPLEX,Point,46.2167,-19.3833
32d493b9-93f6-4b05-835d-a31377552488,FUNESTUS COMPLEX,Point,37.409,-0.606
357c4399-bd10-4a65-9ffa-11e49e7e61e1,FUNESTUS COMPLEX,Point,-5.4,6.866
